name,params,length,setup_time,sample_time,suc_count,total_time
brp,N=16 MAX=4,32,22.780808,-1,0,5132.278641
brp,N=16 MAX=4,64,23.095015,-1,0,10219.755565
brp,N=16 MAX=4,128,23.765607,-1,0,20266.639119
brp,N=16 MAX=5,8,23.363328,-1,0,1347.451513
brp,N=16 MAX=5,16,23.862719,-1,0,2561.579114
brp,N=16 MAX=5,32,23.620196,-1,0,5401.620633
brp,N=16 MAX=5,64,23.535513,-1,0,9804.901431
brp,N=16 MAX=5,128,23.908343,-1,0,20014.459064
brp,N=32 MAX=2,8,24.434352,-1,0,1384.410882
brp,N=32 MAX=2,16,23.365792,-1,0,2586.035014
brp,N=32 MAX=2,32,23.447134,-1,0,4904.898420
brp,N=32 MAX=2,64,23.670083,-1,0,9825.411620
brp,N=32 MAX=2,128,23.676679,-1,0,19748.058393
brp,N=32 MAX=3,8,25.422043,-1,0,1368.863435
brp,N=32 MAX=3,16,24.735682,-1,0,2596.540502
brp,N=32 MAX=3,32,25.283910,-1,0,5435.643516
brp,N=32 MAX=3,64,24.899820,-1,0,9605.740297
brp,N=32 MAX=3,128,24.737325,-1,0,19815.932637
brp,N=32 MAX=4,8,26.860560,-1,0,1374.889945
brp,N=32 MAX=4,16,26.482913,-1,0,2551.398870
brp,N=32 MAX=4,32,26.184277,-1,0,5140.102340
brp,N=32 MAX=4,64,26.374530,-1,0,9892.664667
brp,N=32 MAX=4,128,26.519836,-1,0,22030.657907
brp,N=32 MAX=5,8,31.756261,-1,0,1420.884206
brp,N=32 MAX=5,16,27.774599,-1,0,2565.219516
brp,N=32 MAX=5,32,27.890310,-1,0,5013.325374
brp,N=32 MAX=5,64,27.529394,-1,0,10188.038586
brp,N=32 MAX=5,128,31.524170,-1,0,19825.007556
brp,N=64 MAX=2,8,28.011401,-1,1,1349.481591
brp,N=64 MAX=2,16,29.687262,-1,0,2541.837364
brp,N=64 MAX=2,32,27.532262,-1,0,4999.748449
brp,N=64 MAX=2,64,27.687287,-1,0,9654.754412
brp,N=64 MAX=2,128,27.870158,-1,1,19733.567445
brp,N=64 MAX=3,8,30.842683,-1,0,1373.538400
brp,N=64 MAX=3,16,32.208968,-1,0,2544.696377
brp,N=64 MAX=3,32,31.073430,-1,0,5429.474973
